timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/28 22:03:33.787, 1, 16296, 97887, 0, 93.78, 41
2026/06/28 22:03:34.287, 0, 88855, 97887, 100, 342.37, 59
2026/06/28 22:03:34.287, 1, 16296, 97887, 0, 93.78, 41
2026/06/28 22:03:34.787, 0, 88855, 97887, 100, 342.10, 59
2026/06/28 22:03:34.788, 1, 16296, 97887, 0, 94.02, 40
2026/06/28 22:03:35.288, 0, 88855, 97887, 100, 341.53, 58
2026/06/28 22:03:35.288, 1, 16296, 97887, 0, 127.32, 41
2026/06/28 22:03:35.788, 0, 88855, 97887, 100, 338.82, 58
2026/06/28 22:03:35.788, 1, 16296, 97887, 0, 139.21, 41
2026/06/28 22:03:36.288, 0, 88855, 97887, 100, 337.91, 58
2026/06/28 22:03:36.288, 1, 16296, 97887, 0, 101.00, 41
2026/06/28 22:03:36.788, 0, 88855, 97887, 100, 338.31, 58
2026/06/28 22:03:36.788, 1, 16296, 97887, 0, 101.00, 41
2026/06/28 22:03:37.288, 0, 88855, 97887, 100, 337.92, 58
2026/06/28 22:03:37.288, 1, 16296, 97887, 0, 94.36, 41
2026/06/28 22:03:37.789, 0, 88855, 97887, 100, 337.53, 58
2026/06/28 22:03:37.789, 1, 16296, 97887, 14, 130.95, 43
2026/06/28 22:03:38.289, 0, 88855, 97887, 100, 341.98, 58
2026/06/28 22:03:38.289, 1, 16296, 97887, 0, 159.98, 41
2026/06/28 22:03:38.789, 0, 88855, 97887, 100, 346.12, 58
2026/06/28 22:03:38.789, 1, 16296, 97887, 70, 196.87, 44
2026/06/28 22:03:39.289, 0, 88855, 97887, 100, 344.96, 58
2026/06/28 22:03:39.290, 1, 16296, 97887, 70, 211.54, 45
2026/06/28 22:03:39.790, 0, 88855, 97887, 100, 339.64, 57
2026/06/28 22:03:39.790, 1, 16296, 97887, 0, 136.18, 41
2026/06/28 22:03:40.290, 0, 88855, 97887, 100, 338.00, 57
2026/06/28 22:03:40.290, 1, 16296, 97887, 0, 131.69, 41
2026/06/28 22:03:40.790, 0, 88855, 97887, 100, 338.07, 57
