timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/28 21:55:28.503, 1, 16290, 97887, 0, 95.76, 40
2026/06/28 21:55:29.003, 0, 88855, 97887, 100, 287.45, 51
2026/06/28 21:55:29.003, 1, 16290, 97887, 0, 95.19, 40
2026/06/28 21:55:29.503, 0, 88855, 97887, 100, 289.65, 52
2026/06/28 21:55:29.504, 1, 16290, 97887, 19, 114.53, 41
2026/06/28 21:55:30.004, 0, 88855, 97887, 100, 290.69, 52
2026/06/28 21:55:30.004, 1, 16290, 97887, 0, 119.34, 40
2026/06/28 21:55:30.504, 0, 88855, 97887, 100, 287.45, 52
2026/06/28 21:55:30.504, 1, 16294, 97887, 67, 142.05, 44
2026/06/28 21:55:31.004, 0, 88855, 97887, 100, 285.06, 52
2026/06/28 21:55:31.004, 1, 16294, 97887, 0, 165.85, 41
2026/06/28 21:55:31.504, 0, 88855, 97887, 100, 284.28, 52
2026/06/28 21:55:31.504, 1, 16294, 97887, 0, 130.40, 40
2026/06/28 21:55:32.004, 0, 88855, 97887, 100, 285.70, 52
2026/06/28 21:55:32.004, 1, 16294, 97887, 0, 95.08, 40
2026/06/28 21:55:32.504, 0, 88855, 97887, 100, 286.57, 52
2026/06/28 21:55:32.504, 1, 16294, 97887, 0, 95.08, 40
2026/06/28 21:55:33.005, 0, 88855, 97887, 100, 286.73, 52
2026/06/28 21:55:33.005, 1, 16294, 97887, 0, 93.96, 40
2026/06/28 21:55:33.505, 0, 88855, 97887, 100, 300.04, 53
2026/06/28 21:55:33.505, 1, 16294, 97887, 12, 127.45, 41
2026/06/28 21:55:34.005, 0, 88855, 97887, 100, 319.79, 53
2026/06/28 21:55:34.005, 1, 16294, 97887, 0, 163.09, 41
2026/06/28 21:55:34.505, 0, 88855, 97887, 100, 323.24, 53
2026/06/28 21:55:34.505, 1, 16294, 97887, 0, 124.15, 40
2026/06/28 21:55:35.005, 0, 88855, 97887, 100, 321.69, 53
2026/06/28 21:55:35.005, 1, 16294, 97887, 27, 131.13, 42
2026/06/28 21:55:35.506, 0, 88855, 97887, 100, 317.45, 53
2026/06/28 21:55:35.506, 1, 16294, 97887, 62, 188.93, 44
2026/06/28 21:55:36.006, 0, 88855, 97887, 100, 311.35, 53
2026/06/28 21:55:36.006, 1, 16294, 97887, 0, 209.35, 42
2026/06/28 21:55:36.506, 0, 88855, 97887, 100, 306.39, 53
2026/06/28 21:55:36.506, 1, 16294, 97887, 0, 200.72, 42
2026/06/28 21:55:37.006, 0, 88855, 97887, 100, 303.52, 53
2026/06/28 21:55:37.006, 1, 16296, 97887, 7, 147.28, 41
2026/06/28 21:55:37.506, 0, 88855, 97887, 100, 286.36, 52
2026/06/28 21:55:37.507, 1, 16296, 97887, 64, 192.28, 46
2026/06/28 21:55:38.007, 0, 88855, 97887, 0, 189.37, 49
2026/06/28 21:55:38.007, 1, 16296, 97887, 63, 250.95, 45
2026/06/28 21:55:38.507, 0, 88855, 97887, 100, 188.66, 54
2026/06/28 21:55:38.507, 1, 16296, 97887, 0, 169.17, 42
2026/06/28 21:55:39.007, 0, 88855, 97887, 100, 307.94, 55
2026/06/28 21:55:39.007, 1, 16296, 97887, 0, 111.62, 41
2026/06/28 21:55:39.507, 0, 88855, 97887, 100, 326.56, 54
2026/06/28 21:55:39.508, 1, 16296, 97887, 0, 105.84, 41
2026/06/28 21:55:40.009, 0, 88855, 97887, 100, 319.89, 54
2026/06/28 21:55:40.009, 1, 16296, 97887, 15, 112.27, 42
2026/06/28 21:55:40.509, 0, 88855, 97887, 100, 311.92, 54
2026/06/28 21:55:40.509, 1, 16296, 97887, 17, 131.00, 42
2026/06/28 21:55:41.009, 0, 88855, 97887, 100, 313.56, 54
2026/06/28 21:55:41.009, 1, 16296, 97887, 15, 148.55, 42
2026/06/28 21:55:41.509, 0, 88855, 97887, 100, 322.66, 55
2026/06/28 21:55:41.510, 1, 16296, 97887, 0, 116.88, 41
2026/06/28 21:55:42.010, 0, 88855, 97887, 100, 332.23, 55
2026/06/28 21:55:42.010, 1, 16296, 97887, 0, 99.30, 41
2026/06/28 21:55:42.510, 0, 88855, 97887, 100, 331.13, 55
2026/06/28 21:55:42.510, 1, 16296, 97887, 0, 96.78, 41
2026/06/28 21:55:43.010, 0, 88855, 97887, 100, 331.10, 55
2026/06/28 21:55:43.010, 1, 16296, 97887, 0, 96.78, 41
2026/06/28 21:55:43.510, 0, 88855, 97887, 100, 327.46, 55
2026/06/28 21:55:43.510, 1, 16296, 97887, 74, 118.05, 42
2026/06/28 21:55:44.010, 0, 88855, 97887, 100, 327.39, 55
2026/06/28 21:55:44.011, 1, 16296, 97887, 71, 139.43, 45
2026/06/28 21:55:44.511, 0, 88855, 97887, 100, 331.65, 55
2026/06/28 21:55:44.511, 1, 16296, 97887, 0, 142.53, 41
2026/06/28 21:55:45.011, 0, 88855, 97887, 100, 329.17, 55
2026/06/28 21:55:45.011, 1, 16296, 97887, 71, 160.58, 46
2026/06/28 21:55:45.511, 0, 88855, 97887, 100, 323.93, 55
2026/06/28 21:55:45.511, 1, 16296, 97887, 9, 171.95, 43
2026/06/28 21:55:46.012, 0, 88855, 97887, 100, 319.54, 55
2026/06/28 21:55:46.012, 1, 16296, 97887, 0, 114.87, 42
2026/06/28 21:55:46.512, 0, 88855, 97887, 100, 319.89, 55
2026/06/28 21:55:46.512, 1, 16296, 97887, 0, 102.75, 41
2026/06/28 21:55:47.012, 0, 88855, 97887, 100, 318.55, 55
2026/06/28 21:55:47.012, 1, 16296, 97887, 20, 140.71, 42
2026/06/28 21:55:47.512, 0, 88855, 97887, 100, 318.15, 55
2026/06/28 21:55:47.512, 1, 16296, 97887, 0, 136.75, 41
2026/06/28 21:55:48.012, 0, 88855, 97887, 100, 318.19, 55
2026/06/28 21:55:48.013, 1, 16296, 97887, 1, 105.87, 41
2026/06/28 21:55:48.513, 0, 88855, 97887, 100, 314.77, 55
2026/06/28 21:55:48.513, 1, 16296, 97887, 0, 147.77, 42
2026/06/28 21:55:49.013, 0, 88855, 97887, 100, 310.73, 55
2026/06/28 21:55:49.013, 1, 16296, 97887, 49, 159.35, 45
2026/06/28 21:55:49.513, 0, 88855, 97887, 100, 306.02, 55
2026/06/28 21:55:49.513, 1, 16296, 97887, 0, 135.23, 43
2026/06/28 21:55:50.013, 0, 88855, 97887, 100, 302.90, 55
2026/06/28 21:55:50.014, 1, 16296, 97887, 29, 165.69, 43
2026/06/28 21:55:50.514, 0, 88855, 97887, 100, 303.47, 55
2026/06/28 21:55:50.514, 1, 16296, 97887, 0, 157.15, 42
2026/06/28 21:55:51.014, 0, 88855, 97887, 100, 300.35, 55
2026/06/28 21:55:51.014, 1, 16296, 97887, 28, 181.40, 44
2026/06/28 21:55:51.514, 0, 88855, 97887, 100, 294.50, 55
2026/06/28 21:55:51.514, 1, 16296, 97887, 0, 189.96, 44
2026/06/28 21:55:52.014, 0, 88855, 97887, 100, 292.86, 55
2026/06/28 21:55:52.015, 1, 16296, 97887, 59, 185.09, 45
2026/06/28 21:55:52.515, 0, 88855, 97887, 100, 293.57, 54
2026/06/28 21:55:52.515, 1, 16296, 97887, 70, 217.08, 45
2026/06/28 21:55:53.015, 0, 88855, 97887, 100, 291.76, 55
2026/06/28 21:55:53.015, 1, 16296, 97887, 41, 200.23, 44
2026/06/28 21:55:53.515, 0, 88855, 97887, 100, 296.71, 55
2026/06/28 21:55:53.515, 1, 16296, 97887, 0, 173.65, 47
2026/06/28 21:55:54.015, 0, 88855, 97887, 100, 307.58, 55
2026/06/28 21:55:54.015, 1, 16296, 97887, 78, 230.13, 48
2026/06/28 21:55:54.516, 0, 88855, 97887, 100, 276.64, 52
2026/06/28 21:55:54.516, 1, 16296, 97887, 48, 294.40, 47
2026/06/28 21:55:55.016, 0, 88855, 97887, 0, 166.99, 50
2026/06/28 21:55:55.016, 1, 16296, 97887, 78, 245.51, 50
2026/06/28 21:55:55.516, 0, 88855, 97887, 0, 107.62, 50
2026/06/28 21:55:55.516, 1, 16296, 97887, 58, 226.67, 45
2026/06/28 21:55:56.016, 0, 88855, 97887, 88, 173.12, 56
2026/06/28 21:55:56.016, 1, 16296, 97887, 0, 163.36, 43
2026/06/28 21:55:56.516, 0, 88855, 97887, 90, 283.83, 56
2026/06/28 21:55:56.516, 1, 16296, 97887, 0, 109.07, 43
2026/06/28 21:55:57.017, 0, 88855, 97887, 89, 338.40, 56
2026/06/28 21:55:57.017, 1, 16296, 97887, 0, 109.07, 43
2026/06/28 21:55:57.517, 0, 88855, 97887, 89, 337.73, 56
2026/06/28 21:55:57.517, 1, 16296, 97887, 0, 95.68, 42
2026/06/28 21:55:58.017, 0, 88855, 97887, 99, 326.74, 55
2026/06/28 21:55:58.017, 1, 16296, 97887, 26, 102.95, 45
2026/06/28 21:55:58.517, 0, 88855, 97887, 100, 310.32, 55
2026/06/28 21:55:58.517, 1, 16296, 97887, 1, 111.05, 43
2026/06/28 21:55:59.017, 0, 88855, 97887, 100, 318.15, 56
2026/06/28 21:55:59.017, 1, 16296, 97887, 40, 120.28, 44
2026/06/28 21:55:59.518, 0, 88855, 97887, 100, 334.01, 56
2026/06/28 21:55:59.518, 1, 16296, 97887, 40, 113.83, 43
2026/06/28 21:56:00.018, 0, 88855, 97887, 100, 336.40, 56
2026/06/28 21:56:00.018, 1, 16296, 97887, 37, 117.92, 45
2026/06/28 21:56:00.518, 0, 88855, 97887, 100, 342.61, 57
2026/06/28 21:56:00.518, 1, 16296, 97887, 3, 118.73, 44
2026/06/28 21:56:01.018, 0, 88855, 97887, 100, 346.23, 57
2026/06/28 21:56:01.018, 1, 16296, 97887, 0, 138.02, 43
2026/06/28 21:56:01.519, 0, 88855, 97887, 100, 357.95, 57
2026/06/28 21:56:01.519, 1, 16296, 97887, 30, 139.30, 43
2026/06/28 21:56:02.019, 0, 88855, 97887, 100, 375.70, 58
2026/06/28 21:56:02.019, 1, 16296, 97887, 52, 161.46, 45
2026/06/28 21:56:02.519, 0, 88855, 97887, 100, 383.41, 58
2026/06/28 21:56:02.519, 1, 16296, 97887, 0, 158.31, 46
2026/06/28 21:56:03.019, 0, 88855, 97887, 100, 387.30, 58
2026/06/28 21:56:03.019, 1, 16296, 97887, 55, 145.41, 46
2026/06/28 21:56:03.519, 0, 88855, 97887, 100, 383.62, 58
