timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/28 21:30:32.504, 0, 88855, 97887, 11, 243.83, 51
2026/06/28 21:30:32.505, 1, 16296, 97887, 54, 233.07, 46
2026/06/28 21:30:33.005, 0, 88855, 97887, 88, 189.46, 56
2026/06/28 21:30:33.005, 1, 16296, 97887, 0, 239.60, 42
2026/06/28 21:30:33.505, 0, 88855, 97887, 100, 246.55, 56
2026/06/28 21:30:33.505, 1, 16296, 97887, 0, 152.74, 42
2026/06/28 21:30:34.005, 0, 88855, 97887, 100, 331.80, 56
2026/06/28 21:30:34.005, 1, 16296, 97887, 0, 121.34, 42
2026/06/28 21:30:34.505, 0, 88855, 97887, 99, 314.77, 55
2026/06/28 21:30:34.505, 1, 16296, 97887, 20, 113.15, 42
2026/06/28 21:30:35.005, 0, 88855, 97887, 100, 300.51, 55
2026/06/28 21:30:35.006, 1, 16296, 97887, 17, 115.87, 42
2026/06/28 21:30:35.506, 0, 88855, 97887, 100, 300.88, 55
2026/06/28 21:30:35.506, 1, 16296, 97887, 27, 105.66, 42
2026/06/28 21:30:36.006, 0, 88855, 97887, 100, 299.57, 55
2026/06/28 21:30:36.006, 1, 16296, 97887, 14, 121.38, 42
2026/06/28 21:30:36.506, 0, 88855, 97887, 100, 314.83, 56
2026/06/28 21:30:36.506, 1, 16296, 97887, 0, 118.32, 42
2026/06/28 21:30:37.006, 0, 88855, 97887, 100, 327.49, 56
2026/06/28 21:30:37.007, 1, 16296, 97887, 0, 95.95, 42
2026/06/28 21:30:37.507, 0, 88855, 97887, 100, 326.66, 56
2026/06/28 21:30:37.507, 1, 16296, 97887, 62, 110.40, 42
2026/06/28 21:30:38.007, 0, 88855, 97887, 100, 322.88, 56
2026/06/28 21:30:38.007, 1, 16296, 97887, 0, 110.31, 42
2026/06/28 21:30:38.507, 0, 88855, 97887, 100, 325.29, 56
2026/06/28 21:30:38.507, 1, 16296, 97887, 69, 135.45, 44
2026/06/28 21:30:39.010, 0, 88855, 97887, 100, 331.37, 56
2026/06/28 21:30:39.010, 1, 16296, 97887, 0, 164.16, 42
2026/06/28 21:30:39.510, 0, 88855, 97887, 100, 329.64, 56
2026/06/28 21:30:39.510, 1, 16296, 97887, 69, 167.87, 45
2026/06/28 21:30:40.010, 0, 88855, 97887, 100, 321.67, 56
2026/06/28 21:30:40.010, 1, 16296, 97887, 42, 177.16, 44
2026/06/28 21:30:40.511, 0, 88855, 97887, 100, 317.34, 56
2026/06/28 21:30:40.511, 1, 16296, 97887, 0, 146.19, 43
2026/06/28 21:30:41.011, 0, 88855, 97887, 100, 314.76, 56
2026/06/28 21:30:41.011, 1, 16296, 97887, 0, 98.79, 42
2026/06/28 21:30:41.511, 0, 88855, 97887, 100, 313.26, 56
2026/06/28 21:30:41.511, 1, 16296, 97887, 0, 97.43, 42
2026/06/28 21:30:42.011, 0, 88855, 97887, 100, 311.00, 56
2026/06/28 21:30:42.011, 1, 16296, 97887, 0, 96.83, 42
2026/06/28 21:30:42.511, 0, 88855, 97887, 100, 308.06, 56
2026/06/28 21:30:42.511, 1, 16296, 97887, 0, 123.26, 42
2026/06/28 21:30:43.011, 0, 88855, 97887, 100, 308.48, 56
2026/06/28 21:30:43.011, 1, 16296, 97887, 0, 125.89, 42
2026/06/28 21:30:43.512, 0, 88855, 97887, 100, 308.76, 56
2026/06/28 21:30:43.513, 1, 16296, 97887, 71, 113.79, 43
2026/06/28 21:30:44.013, 0, 88855, 97887, 100, 306.83, 56
2026/06/28 21:30:44.013, 1, 16296, 97887, 0, 112.16, 42
2026/06/28 21:30:44.513, 0, 88855, 97887, 100, 304.51, 55
2026/06/28 21:30:44.513, 1, 16296, 97887, 0, 103.70, 42
2026/06/28 21:30:45.013, 0, 88855, 97887, 100, 302.07, 55
2026/06/28 21:30:45.013, 1, 16296, 97887, 61, 145.68, 44
2026/06/28 21:30:45.513, 0, 88855, 97887, 100, 299.53, 55
2026/06/28 21:30:45.513, 1, 16296, 97887, 0, 154.51, 42
2026/06/28 21:30:46.013, 0, 88855, 97887, 100, 296.65, 55
2026/06/28 21:30:46.013, 1, 16296, 97887, 74, 169.91, 48
2026/06/28 21:30:46.514, 0, 88855, 97887, 100, 294.08, 55
2026/06/28 21:30:46.514, 1, 16296, 97887, 0, 167.73, 42
2026/06/28 21:30:47.014, 0, 88855, 97887, 100, 291.92, 55
2026/06/28 21:30:47.014, 1, 16296, 97887, 0, 169.14, 43
2026/06/28 21:30:47.514, 0, 88855, 97887, 100, 291.50, 55
2026/06/28 21:30:47.514, 1, 16296, 97887, 66, 254.91, 45
2026/06/28 21:30:48.014, 0, 88855, 97887, 100, 291.12, 55
2026/06/28 21:30:48.014, 1, 16296, 97887, 65, 250.73, 46
2026/06/28 21:30:48.515, 0, 88855, 97887, 100, 298.42, 55
2026/06/28 21:30:48.515, 1, 16296, 97887, 65, 247.91, 47
2026/06/28 21:30:49.015, 0, 88855, 97887, 100, 302.72, 55
2026/06/28 21:30:49.015, 1, 16296, 97887, 71, 303.88, 48
2026/06/28 21:30:49.515, 0, 88855, 97887, 14, 251.07, 51
2026/06/28 21:30:49.515, 1, 16296, 97887, 64, 287.17, 46
2026/06/28 21:30:50.015, 0, 88855, 97887, 0, 140.48, 50
2026/06/28 21:30:50.015, 1, 16296, 97887, 70, 289.15, 50
2026/06/28 21:30:50.515, 0, 88855, 97887, 0, 104.86, 53
2026/06/28 21:30:50.516, 1, 16296, 97887, 0, 226.35, 43
2026/06/28 21:30:51.016, 0, 88855, 97887, 88, 234.08, 56
2026/06/28 21:30:51.016, 1, 16296, 97887, 0, 136.07, 43
2026/06/28 21:30:51.516, 0, 88855, 97887, 89, 339.92, 56
2026/06/28 21:30:51.516, 1, 16296, 97887, 0, 105.30, 43
2026/06/28 21:30:52.016, 0, 88855, 97887, 88, 326.37, 57
2026/06/28 21:30:52.016, 1, 16296, 97887, 0, 105.30, 43
2026/06/28 21:30:52.516, 0, 88855, 97887, 100, 316.85, 56
2026/06/28 21:30:52.516, 1, 16296, 97887, 29, 101.41, 43
2026/06/28 21:30:53.016, 0, 88855, 97887, 100, 307.62, 55
2026/06/28 21:30:53.016, 1, 16296, 97887, 16, 108.44, 43
2026/06/28 21:30:53.516, 0, 88855, 97887, 100, 325.96, 60
2026/06/28 21:30:53.517, 1, 16296, 97887, 0, 128.76, 43
2026/06/28 21:30:54.018, 0, 88855, 97887, 100, 334.53, 56
2026/06/28 21:30:54.018, 1, 16296, 97887, 25, 116.68, 43
2026/06/28 21:30:54.518, 0, 88855, 97887, 100, 346.92, 56
2026/06/28 21:30:54.518, 1, 16296, 97887, 30, 104.97, 43
2026/06/28 21:30:55.018, 0, 88855, 97887, 100, 343.76, 57
2026/06/28 21:30:55.018, 1, 16296, 97887, 3, 103.64, 43
2026/06/28 21:30:55.518, 0, 88855, 97887, 100, 357.67, 57
