campana,maquina,motor,celda,repeticion,origen,gpu,instante,utilizacion_pct,memoria_mib,potencia_w,temperatura_c
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:08.347,0,10161,132.7,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:09.347,84,30937,275.99,56
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:09.347,1,10161,95.82,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:10.347,87,30937,312.98,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:10.347,10,10161,255.95,44
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:11.347,95,30937,379.97,62
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:11.348,86,10161,217.43,49
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:12.348,80,30937,364.21,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:12.348,0,10161,108.49,43
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:13.348,92,30937,302.83,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:13.348,0,10161,188.78,43
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:14.348,91,30937,305.23,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:14.348,0,10161,113.86,43
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:15.348,92,30937,327.07,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:15.348,0,10161,96.02,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:16.349,92,30937,332.45,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:16.349,0,10161,96.28,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:17.349,90,30937,316.73,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:17.349,0,10161,131.37,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:18.349,89,30937,301.54,57
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,1,2026/07/04 16:55:18.349,0,10161,110.93,42
confianza,voz05,llamacpp,26b_4b_np4,04,confianza/llamacpp/26b_4b_np4/run_04/telemetria_gpu.csv,0,2026/07/04 16:55:19.349,95,30937,377.52,62
